0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Hatay,107710336,Devlet,Hatay Mustafa Kemal Ü.,Ziraat Fak.,Örgün,-,,"256,4627",542.300,20,20,0,"100,0%",,-90.472,,-,,"239,5956",632.772,20,20,-,"100,0%",,-
Şanlıurfa,105010261,Devlet,Harran Ü.,"w
Ziraat Fak.",Örgün,-,,"254,5398",557.900,30,30,0,"100,0%",,-43.841,,-,,"242,5263",601.741,30,30,-,"100,0%",,-
K.Maraş,106010285,Devlet,Kahramanmaraş Sütçü İmam Ü.,Ziraat Fak.,Örgün,-,,"254,1844",560.900,25,25,0,"100,0%",,-67.695,,-,,"239,9809",628.595,25,25,-,"100,0%",,-
Tokat,104310288,Devlet,Tokat Gaziosmanpaşa Ü.,Ziraat Fak.,Örgün,-,,"254,1397",561.200,25,25,0,"100,0%",,-41.920,,-,,"242,3865",603.120,25,25,-,"100,0%",,-
Kırşehir,100610288,Devlet,Kırşehir Ahi Evran Ü.,Ziraat Fak.,Örgün,-,,"250,1386",595.400,30,30,0,"100,0%",,-15.720,,-,,"241,6214",611.120,30,30,-,"100,0%",,-
Rize,108710299,Devlet,Recep Tayyip Erdoğan Ü.,"w
Ziraat Fak.",Örgün,-,,"249,9843",596.700,20,20,0,"100,0%",,-23.792,,-,,"240,7409",620.492,20,20,-,"100,0%",,-
Malatya,111510497,Devlet,Malatya Turgut Özal Ü.,Ziraat Fak.,Örgün,-,,"249,9654",596.800,30,30,0,"100,0%",,-74.649,,-,,"236,1630",671.449,30,30,-,"100,0%",,-
Kilis,106870275,Devlet,Kilis 7 Aralık Ü.,Ziraat Fak.,Örgün,-,,"247,9412",615.300,20,20,0,"100,0%",,-18.213,,-,,"239,5213",633.513,20,20,-,"100,0%",,-
Erzurum,101410869,Devlet,"w
Atatürk Ü.",Ziraat Fak.,Örgün,-,,"247,1040",623.400,30,30,0,"100,0%",,-15.237,,-,,"239,0391",638.637,30,30,-,"100,0%",,-
Yozgat,102310213,Devlet,Yozgat Bozok Ü.,Ziraat Fak.,Örgün,-,,"245,9793",634.000,30,30,0,"100,0%",,-14.926,,-,,"238,1117",648.926,30,30,-,"100,0%",,-
Bingöl,102090104,Devlet,Bingöl Ü.,Ziraat Fak.,Örgün,-,,"241,5167",679.400,20,20,0,"100,0%",,-92.041,,-,,"227,9969",771.441,20,20,-,"100,0%",,-
Siirt,109010197,Devlet,Siirt Ü.,Ziraat Fak.,Örgün,-,,"240,2096",693.500,20,20,0,"100,0%",,-57.418,,-,,"229,6210",750.918,20,20,-,"100,0%",,-
Adıyaman,100290207,Devlet,Adıyaman Ü.,Ziraat Fak.,Örgün,-,,"239,6493",699.400,20,20,0,"100,0%",,-,,-,,-,Yeni,-,-,-,-,,-
Iğdır,105290077,Devlet,Iğdır Ü.,Ziraat Fak.,Örgün,-,,"235,0309",751.700,30,30,0,"100,0%",,-40.604,,-,,"226,3584",792.304,30,30,-,"100,0%",,-
Şırnak,109310079,Devlet,Şırnak Ü.,Ziraat Fak.,Örgün,-,,"230,7277",802.300,30,30,0,"100,0%",,-71.832,,-,,"220,0446",874.132,30,30,-,"100,0%",,-
Lefke,300390280,Kıbrıs,Lefke Avrupa Ü.,Tarım Bilimleri ve Teknolojileri Fak.,Burslu,İng.,,"228,0994",834.300,15,15,0,"100,0%",,-140.106,,-,,"212,1293",974.406,15,15,-,"100,0%",,-
Lefke,300390502,Kıbrıs,Lefke Avrupa Ü.,Tarım Bilimleri ve Teknolojileri Fak.,%50 İnd.,İng.,,"202,6784",1.128.000,15,15,0,"100,0%",,-148.962,,₺229.500,,"179,0865",1.276.962,15,15,-,"100,0%",,₺120.000
BALIKÇILIK TEKNOLOJİSİ MÜHENDİSLİĞİ,,,,www.unsalim.com,,,,2025 GENEL YERLEŞTİRME BİLGİLERİ,,,,,,,SIRALAMA,,2025 ÜCRET,,2024 GENEL YERLEŞTİRME BİLGİLERİ,,,,,,,2024 ÜCRET
Lokasyon,Kodu,Ün.Türü,Üniversite Adı,Fakültesi & Yüksekokulu,Öğr.Şekli,Özelliği,.,Taban P.,Yk.Tab.S.,Kon.,Yer.,Boş,Dol.%,.,DEĞİŞİMİ,.,Bilgisi,.,Taban P.,Taban S.,Kon.,Yer.,Boş,Dol.%,.,Bilgisi
Trabzon,106210477,Devlet,Karadeniz Teknik Ü.,Sürmene Deniz Bilimleri Fak.,Örgün,-,,"238,7634",709.200,25,25,0,"100,0%",,-9.570,,-,,"232,2008",718.770,25,25,-,"100,0%",,-
Lokasyon,Kodu,Ün.Türü,Üniversite Adı,Fakültesi & Yüksekokulu,Öğr.Şekli,Özelliği,.,Taban P.,Yk.Tab.S.,Kon.,Yer.,Boş,Dol.%,.,DEĞİŞİMİ,.,Bilgisi,.,Taban P.,Taban S.,Kon.,Yer.,Boş,Dol.%,.,Bilgisi
Ordu,108310091,Devlet,Ordu Ü.,Fatsa Deniz Bilimleri Fak.,Örgün,-,,"235,1360",750.500,20,20,0,"100,0%",,-38.874,,-,,"226,5860",789.374,20,20,-,"100,0%",,-
Girne,300710143,Kıbrıs,Girne Ü.,Deniz Bilimleri Fak.,Burslu,İng.,,"225,8679",861.700,3,3,0,"100,0%",,-250.973,,-,,"200,1572",1.112.673,3,3,-,"100,0%",,-
BASIM TEKNOLOJİLERİ,,,,www.unsalim.com,,,,2025 GENEL YERLEŞTİRME BİLGİLERİ,,,,,,,SIRALAMA,,2025 ÜCRET,,2024 GENEL YERLEŞTİRME BİLGİLERİ,,,,,,,2024 ÜCRET
Lokasyon,Kodu,Ün.Türü,Üniversite Adı,Fakültesi & Yüksekokulu,Öğr.Şekli,Özelliği,.,Taban P.,Yk.Tab.S.,Kon.,Yer.,Boş,Dol.%,.,DEĞİŞİMİ,.,Bilgisi,.,Taban P.,Taban S.,Kon.,Yer.,Boş,Dol.%,.,Bilgisi
İstanbul,107211057,Devlet,Marmara Ü.,Uygulamalı Bilimler Fak.,Örgün,-,,"294,1890",330.900,40,40,0,"100,0%",,-24.833,,-,,"277,1044",355.733,40,40,-,"100,0%",,-
BESLENME VE DİYETETİK,,,,www.unsalim.com,,,,2025 GENEL YERLEŞTİRME BİLGİLERİ,,,,,,,SIRALAMA,,2025 ÜCRET,,2024 GENEL YERLEŞTİRME BİLGİLERİ,,,,,,,2024 ÜCRET
Lokasyon,Kodu,Ün.Türü,Üniversite Adı,Fakültesi & Yüksekokulu,Öğr.Şekli,Özelliği,.,Taban P.,Yk.Tab.S.,Kon.,Yer.,Boş,Dol.%,.,DEĞİŞİMİ,.,Bilgisi,.,Taban P.,Taban S.,Kon.,Yer.,Boş,Dol.%,.,Bilgisi
Ankara,104810732,Devlet,Hacettepe Ü.,Sağlık Bilimleri Fak.,Örgün,-,,"416,6944",79.700,27,27,0,"100,0%",,743,,-,,"403,4947",78.957,30,30,-,"100,0%",,-
