Sehir,Id,bolum_adi,Tur,Universite,Fakülte,Ogrenim_sekli,Ozellik,2025_Taban_Puan,2025_Taban_Sıralama,2025_Kontenjan,2025_Dolu_Kontenjan,2025_Bos_Kontenjan,2025_Kontenjan_Orani,2025_Sıralama_Degisim_Orani,2025_Ucret,2024_TabanPuani,2024_TabanSıralama,2024_Kontenjan,2024_Dolu_Kontenjan,2024_Bos_Kontenjan,2024_Kontenjan_Orani,2024_Ucret
Kilis,106870404,COĞRAFYA,Devlet,Kilis 7 Aralık Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"249,7670",661.100,35,35,0,"100,0%",28.226,-,"271,9813",632.874,40,40,-,"100,0%",-
Gümüşhane,104790059,COĞRAFYA,Devlet,Gümüşhane Ü.,Edebiyat Fak.,Örgün,-,"246,9577",688.600,40,40,0,"100,0%",17.494,-,"268,1199",671.106,55,55,-,"100,0%",-
Karabük,106190439,COĞRAFYA,Devlet,Karabük Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"246,6283",691.800,40,40,0,"100,0%",2.700,-,"266,3239",689.100,50,50,-,"100,0%",-
Bingöl,102010322,COĞRAFYA,Devlet,Bingöl Ü.,Fen-Edebiyat Fak.,Örgün,-,"243,3375",723.800,40,40,0,"100,0%",8.761,-,"263,7808",715.039,55,55,-,"100,0%",-
Siirt,109010222,COĞRAFYA,Devlet,Siirt Ü.,Fen-Edebiyat Fak.,Örgün,-,"237,3935",781.300,40,40,0,"100,0%",-27.825,-,"254,7810",809.125,50,50,-,"100,0%",-
Tunceli,109590020,COĞRAFYA,Devlet,Munzur Ü.,Edebiyat Fak.,Örgün,-,"236,5973",788.700,35,35,0,"100,0%",-22.094,-,"254,6216",810.794,55,55,-,"100,0%",-
Ağrı,100510262,COĞRAFYA,Devlet,Ağrı İbrahim Çeçen Ü.,Fen-Edebiyat Fak.,Örgün,-,"234,9114",804.500,45,45,0,"100,0%",63.212,-,"261,2285",741.288,55,55,-,"100,0%",-
Iğdır,105290041,COĞRAFYA,Devlet,Iğdır Ü.,Fen-Edebiyat Fak.,Örgün,-,"230,2863",846.800,40,40,0,"100,0%",16.136,-,"252,7472",830.664,55,55,-,"100,0%",-
Ardahan,101290107,COĞRAFYA,Devlet,Ardahan Ü.,İnsani Bilimler ve Edebiyat Fak.,Örgün,-,"229,5101",853.800,40,40,0,"100,0%",14.682,-,"251,9643","m
839.118",55,55,-,"100,0%",-
Genel,105611183,COĞRAFYA (AÖ),Devlet,İstanbul Ü.,Açık ve Uzaktan Eğitim Fak.,A.Ö.,-,"320,6374",142.500,100,100,0,"100,0%",-98.706,-,"325,5284",241.206,100,100,-,"100,0%",-
Genel,101190428,COĞRAFYA (UÖ),Devlet,Ankara Ü.,Açık ve Uzaktan Eğitim Fak.,U.Ö.,-,"293,9946",282.800,100,100,0,"100,0%",-50.778,-,"309,1401",333.578,100,100,-,"100,0%",-
Ankara,104110236,COĞRAFYA ÖĞRETMENLİĞİ,Devlet,Gazi Ü.,Gazi Eğitim Fak.,Örgün,-,"370,8262",27.400,25,"i
25",0,"100,0%",2.681,-,"406,6959",24.719,25,25,-,"100,0%",-
İstanbul,107210041,COĞRAFYA ÖĞRETMENLİĞİ,Devlet,Marmara Ü.,Atatürk Eğitim Fak.,Örgün,-,"366,3665",32.300,"l
25",25,0,"100,0%",1.825,-,"401,2391",30.475,25,25,-,"100,0%",-
İzmir,103110045,COĞRAFYA ÖĞRETMENLİĞİ,Devlet,Dokuz Eylül Ü.,Buca Eğitim Fak.,Örgün,-,"354,5981",49.500,20,20,0,"100,0%",10.150,-,"394,1441",39.350,20,20,-,"100,0%",-
Çanakkale,102710121,COĞRAFYA ÖĞRETMENLİĞİ,Devlet,Çanakkale Onsekiz Mart Ü.,Eğitim Fak.,Örgün,-,"343,0710","a
72.700",20,20,0,"100,0%",20.356,-,"385,7960",52.344,20,20,-,"100,0%",-
Diyarbakır,103010276,COĞRAFYA ÖĞRETMENLİĞİ,Devlet,Dicle Ü.,Ziya Gökalp Eğitim Fak.,Örgün,-,"328,0679",115.300,20,20,0,"100,0%",37.428,-,"372,4846",77.872,20,20,-,"100,0%",-
Konya,107010052,COĞRAFYA ÖĞRETMENLİĞİ,Devlet,Necmettin Erbakan Ü.,Ahmet Keleşoğlu Eğitim Fak.,Örgün,-,"s
319,9535",145.200,20,20,0,"100,0%",87.542,-,"382,7184",57.658,20,20,-,"100,0%",-
Erzurum,101410303,COĞRAFYA ÖĞRETMENLİĞİ,Devlet,Atatürk Ü.,Kazım Karabekir Eğitim Fak.,Örgün,-,"313,4519",173.500,30,30,0,"100,0%",80.786,-,"366,1923",92.714,30,30,-,"100,0%",-
İstanbul,105611147,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,İstanbul Ü.,Edebiyat Fak.,Örgün,-,"341,6606",76.200,65,65,0,"100,0%",-21.847,-,"364,1232",98.047,65,65,-,"100,0%",-
Ankara,104810838,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Hacettepe Ü.,".
Edebiyat Fak.",Örgün,-,"338,3106",84.700,45,45,0,"100,0%",-19.117,-,"361,9478",103.817,45,45,-,"100,0%",-
Ankara,101110096,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Ankara Ü.,Dil ve Tarih Coğrafya Fak.,Örgün,-,"321,4372",139.300,75,75,0,"100,0%",-12.000,-,"346,7289",151.300,75,75,-,"100,0%",-
Ankara,111710087,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Ankara Hacı Bayram Veli Ü.,"w
Edebiyat Fak.",Örgün,-,"309,5540",192.500,65,65,0,"100,0%",-19.859,-,"331,6321",212.359,65,65,-,"100,0%",-
Muğla,107610107,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Muğla Sıtkı Koçman Ü.,Edebiyat Fak.,Örgün,-,"270,4432",465.100,65,65,0,"100,0%",-43.394,-,"285,5938",508.494,65,65,-,"100,0%",-
Denizli,108610704,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Pamukkale Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"257,6369",584.200,85,85,0,"100,0%",-36.822,-,"273,2023",621.022,85,85,-,"100,0%",-
Diyarbakır,103090303,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Dicle Ü.,Sezai Karakoç Edebiyat Fak.,Örgün,-,"246,6843",691.400,50,50,0,"100,0%",-184.774,-,"248,4961",876.174,65,65,-,"100,0%",-
Afyon,100410078,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Afyon Kocatepe Ü.,"w
Fen-Edebiyat Fak.",Örgün,-,"237,4324",780.900,65,65,0,"100,0%",-89.138,-,"249,0648",870.038,65,65,-,"100,0%",-
Erzurum,101410806,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Atatürk Ü.,Edebiyat Fak.,Örgün,-,"231,6987",834.100,65,65,0,"100,0%",-65.970,-,"246,2449",900.070,65,65,-,"100,0%",-
Uşak,109890209,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Uşak Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"230,1125",848.400,85,85,0,"100,0%",-134.540,-,"238,4082",982.940,85,85,-,"100,0%",-
Kırklareli,106710287,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,"w
Kırklareli Ü.",Fen-Edebiyat Fak.,Örgün,-,"225,3713",890.200,65,65,0,"100,0%",-38.933,-,"243,5127",929.133,65,65,-,"100,0%",-
Bartın,101610319,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Bartın Ü.,Edebiyat Fak.,Örgün,-,"223,1659",909.000,65,65,0,"100,0%",-102.184,-,"235,7122",1.011.184,65,65,-,"100,0%",-
Elazığ,103990371,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Fırat Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"221,0882",926.200,65,65,0,"100,0%",-52.917,-,"238,7801",979.117,65,65,-,"100,0%",-
Nevşehir,108010358,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Nevşehir Hacı Bektaş Veli Ü.,Fen-Edebiyat Fak.,Örgün,-,"220,9152",927.500,75,75,0,"100,0%",-80.929,-,"235,9749",1.008.429,75,75,-,"100,0%",-
Niğde,108190338,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Niğde Ömer Halisdemir Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"218,6263",945.800,65,65,0,"100,0%",-88.244,-,"233,4520",1.034.044,65,65,-,"100,0%",-
Kastamonu,106410351,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Kastamonu Ü.,İnsan ve Toplum Bilimleri Fak.,Örgün,-,"218,2994",948.400,60,60,0,"100,0%",-87.738,-,"233,2483",1.036.138,60,60,-,"100,0%",-
Sivas,102610494,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Sivas Cumhuriyet Ü.,Edebiyat Fak.,Örgün,-,"217,4077",955.400,85,85,0,"100,0%",-93.410,-,"232,0120",1.048.810,85,85,-,"100,0%",-
Ardahan,101290114,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Devlet,Ardahan Ü.,İnsani Bilimler ve Edebiyat Fak.,Örgün,-,"211,1807",1.001.000,55,55,0,"100,0%",-35.537,-,"233,2086",1.036.537,55,55,-,"100,0%",-
Türkistan,403990046,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI,Yabancı,Hoca Ahmet Yesevi Uluslararası Türk-Kazak Ü.,Edebiyat Fak.,Örgün,-,"207,4825",1.027.000,5,5,0,"100,0%",-33.394,-,"230,8552",1.060.394,5,5,-,"100,0%",-
Düzce,103310422,ÇERKEZ DİLİ VE EDEBİYATI,Devlet,Düzce Ü.,Fen-Edebiyat Fak.,Örgün,-,"204,6725",1.045.000,35,35,0,"100,0%",66.063,-,"238,7986",978.937,35,35,-,"100,0%",-
Kayseri,103590350,ÇERKEZ DİLİ VE KÜLTÜRÜ,Devlet,Erciyes Ü.,Edebiyat Fak.,Örgün,-,"245,6020",702.000,30,30,0,"100,0%",-89.315,-,"256,4698",791.315,30,30,-,"100,0%",-
Ankara,200612105,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Başkent Ü.,Güzel Sanatlar Tasarım ve Mimarlık Fak.,Burslu,-,"417,7689",3.410,5,5,0,"100,0%",-224,-,"448,7170",3.634,5,5,-,"100,0%",-
İzmir,206090357,ÇİZGİ FİLM VE ANİMASYON,Vakıf,Yaşar Ü.,Sanat ve Tasarım Fak.,Burslu,-,"392,2543",11.400,7,7,0,"100,0%",5.105,-,"437,4291",6.295,8,8,-,"100,0%",-
